symbol,price,price_change,price_percent_change
RGC,14.09,9.89,235.48
MCRP,4.24,1.7,66.66
HMR,4.08,1.53,60.0
LZMH,13.01,4.83,59.05
AVAH,5.14,1.4,37.43
SSP,2.73,0.68,33.17
QMCO,14.82,3.56,31.62
WLGS,4.04,0.92,29.49
MGTX,8.25,1.84,28.71
XCUR,13.22,2.65,25.07
UBXG,3.84,0.72,23.09
MCTR,7.01,1.26,21.87
YOSH,18.0,3.12,20.97
AMBR,11.0,1.76,19.05
QBTS,6.91,1.09,18.73
RAIL,7.32,1.09,17.5
IH,2.59,0.38,17.19
ATLN,6.0,0.86,16.73
RIME,2.46,0.35,16.59
FFNW,22.64,3.09,15.81
CURR,3.46,0.47,15.72
CSCI,3.11,0.42,15.61
EDBL,2.4,0.31,14.83
UFG,4.66,0.6,14.78
INTC,23.7,3.02,14.6
OPRX,7.15,0.87,13.85
AVDX,7.84,0.95,13.79
YSG,4.9,0.59,13.69
ZSPC,11.19,1.33,13.49
SUUN,4.92,0.57,13.1
CNL,7.81,0.9,13.02
ATYR,3.99,0.44,12.39
IPDN,2.36,0.26,12.22
CYN,4.88,0.5,11.42
SHLS,3.26,0.32,10.88
FN,223.66,21.78,10.79
KRRO,24.66,2.29,10.24
MTEN,5.01,0.46,10.11
BBCP,5.46,0.5,10.08
IDR,12.66,1.15,9.99
PHLT,2.77,0.25,9.92
NABL,7.84,0.69,9.65
AZ,6.53,0.57,9.56
JG,9.85,0.83,9.2
ARMN,4.43,0.37,9.11
NN,11.2,0.93,9.06
AG,6.68,0.54,8.79
YALA,4.8,0.38,8.6
METC,9.62,0.76,8.58
CPRI,21.12,1.64,8.42
BMEA,2.66,0.2,8.13
NVCT,8.35,0.61,7.88
MWYN,4.3,0.3,7.5
JUNE,5.15,0.35,7.29
ASTL,6.24,0.42,7.22
CNSP,2.71,0.18,7.11
MRCY,45.08,2.98,7.08
BLDE,3.03,0.2,7.07
PHR,25.45,1.65,6.93
FWRD,18.87,1.22,6.91
DG,79.95,5.1,6.81
BWMN,23.5,1.49,6.77
LOGC,7.51,0.47,6.68
DLTR,66.0,4.08,6.59
SUP,2.14,0.13,6.47
ZBIO,8.73,0.52,6.33
GRPN,14.86,0.88,6.29
SVRA,2.76,0.16,6.15
SRDX,28.32,1.61,6.03
NG,3.45,0.19,5.83
PHVS,16.91,0.9,5.62
ORLA,8.29,0.44,5.61
CMTG,3.61,0.19,5.56
MOMO,7.17,0.37,5.44
BZAI,3.49,0.18,5.44
AVDL,8.39,0.43,5.4
FLD,6.87,0.35,5.37
TIL,19.06,0.97,5.36
SCHL,20.05,1.02,5.36
ALGM,26.24,1.3,5.21
BTG,2.9,0.14,5.07
SLNO,49.03,2.33,4.99
NIU,2.57,0.12,4.9
NGD,3.23,0.15,4.87
ANIX,2.81,0.13,4.85
WYHG,10.18,0.47,4.84
SKBL,10.73,0.49,4.79
ACNT,12.34,0.56,4.75
TRML,17.04,0.77,4.73
GDOT,6.64,0.3,4.73
DXF,6.26,0.28,4.68
NEM,45.65,2.02,4.63
CBUS,2.26,0.1,4.63
MDCX,3.44,0.15,4.56
SSRM,10.7,0.46,4.49
HAIN,4.34,0.18,4.45
EGO,15.3,0.65,4.44
VOXR,2.6,0.11,4.42
HRTG,12.53,0.53,4.42
HYMC,2.85,0.12,4.4
